Wind Speed (m/s),Actual Blade Angle,Predicted Blade Angle,Power Output (Actual) (W),Power Output (Predicted) (W),Difference in Power Output (W)
11.63276005,7.3989962847177,7.4951156599101,2054846.88815942,2059505.26727952,4658.37912010006
10.34597015,2.79715986133414,2.66208635932529,1288689.86268341,1284084.54700905,-4605.31567436713
6.430617809,0.392333276498878,0.865599022456247,289762.962530662,293637.668488632,3874.70595796948
7.952174187,1.32071530625963,1.29422085478122,562325.305436205,561915.112509267,-410.192926937947
5.906480789,3.28837634736071,3.60931276617385,242900.785301562,244936.800290924,2036.01498936259
10.8350296,6.84693727825785,6.76676767912816,1638813.62465482,1635674.01540544,-3139.60924937576
7.452403069,1.80033873734836,1.81590770157392,468939.057089977,469137.449160656,198.392070679227
12.70796967,2.69212428767215,2.84255046615626,2381522.58765651,2391027.0490952,9504.46143869776
5.784742832,3.53510630939114,3.93910457240173,229659.445985012,232067.173020121,2407.72703510895
11.77367973,6.36430712640421,6.32779172908492,2078442.3801571,2076607.58212495,-1834.79803214828
9.540762901,1.15909402501424,1.45869115763818,966812.889855887,974823.443698423,8010.55384253571
6.427371979,2.41183214243618,2.538005408234,305833.365518345,306864.803764151,1031.4382458062
5.798875809,1.93854675105469,1.98361368482695,221761.836906548,222032.397794729,270.560888181062
2.578670979,1.13639560298242,0.716881984397335,19076.9179349462,18855.4507204994,-221.467214446795
15.77408981,10.0767875938727,10.5767810115163,5447051.32475166,5507470.22222236,60418.8974707006
6.171813965,2.30084414449515,1.8600508195267,269980.701987889,266790.273083772,-3190.42890411697
4.757109165,0.459900905503612,0.547349430182411,117528.299383131,117818.138782751,289.839399620745
2.99433589,0.719872808408239,0.910674415304298,29524.8046409286,29682.5146137216,157.709972792945
11.98163033,5.7938008225869,5.67283488026517,2160317.08895359,2153911.09620201,-6405.99275158299
7.814216137,5.41696942695521,5.84169890590555,593739.01219688,599978.432540818,6239.42034393805
3.623162031,2.9661776753736,2.20846194998059,55594.9990170913,54485.453427102,-1109.54558998924
10.19361019,3.09681202731087,3.07353048669111,1242362.35203913,1241603.12553107,-759.226508053485
1.887681007,1.97017344177922,2.17601034131153,7656.19327020053,7698.82025672089,42.6269865203631
8.641749382,3.50563933696144,3.07280717232855,765076.604947269,756476.572101913,-8600.03284535627
8.110198021,4.33540201463687,4.67090682776331,646031.284127815,651541.501238968,5510.21711115306
9.654511452,1.35616622580812,0.938355808286368,1007266.91234405,995691.252617208,-11575.6597268378
2.377084017,0.926117638641671,0.762026187788733,14856.6011801661,14788.7441056301,-67.8570745360703
0.694625497,0.557403262577543,0.260235962154946,366.908506199152,363.842106510623,-3.0663996885296
5.226080894,1.80141161799475,1.69504188935596,161721.753878263,161254.318029508,-467.435848754481
9.10088253,6.17095147873399,6.47745770971866,955469.903278605,962583.109759259,7113.20648065384
3.8561759,0.754085775396811,0.689287914755192,63120.6943338354,63006.2994089941,-114.394924841312
1.747411966,0.068793841142801,0.905861938081435,5760.79374856728,5898.29995085678,137.506202289507
10.10663986,3.46299638439682,3.78555917099056,1222472.41087107,1232724.44904937,10252.038178297
11.80714035,3.87426149408101,3.68243060311918,1970025.78380682,1960304.3952376,-9721.38856922044
3.393853903,0.887134895289531,0.502181488769335,43191.0535621787,42727.7526258272,-463.300936351407
7.357274055,4.03203644196399,3.72842103947771,478572.338716376,474849.706066803,-3722.63264957292
9.853143692,2.70067767039518,2.13644934228355,1110322.61914166,1093705.53123306,-16617.0879086023
3.837058067,3.03062199133488,1.73747125083069,66146.0819304605,63896.9245317381,-2249.1573987224
1.206630945,0.106293727433737,0.326703931135874,1898.82062578346,1910.74211895424,11.9214931707729
2.094965935,0.365044754042605,0.616381216801781,10011.0744292103,10082.2223113339,71.1478821236015
